elevation,slope,longitude,latitude,biomass,rh98,rh50,canopy_cover,spatial_block,elev_band,predicted_biomass,residual,abs_residual,prediction_date
1137,3.938790681556596,-121.37821916806848,47.69081197683559,204.46294095795628,36.17243617836086,10.826672093462216,0.5496802988718428,3,1000-1500m,200.1038195088827,4.3591214490735695,4.3591214490735695,2026-02-18
878,29.183330605826637,-117.34499985513058,48.18672558876549,223.28000871536963,38.9469975459749,22.557184306825164,0.5665122484572489,3,500-1000m,230.59602809880215,-7.3160193834325185,7.3160193834325185,2026-02-18
156,1.3431949580629947,-118.87604240732016,46.00187159517,121.899185026927,30.42165679175759,15.049979386442162,0.3813415715093869,1,0-500m,130.5172341150772,-8.618049088150201,8.618049088150201,2026-02-18
580,6.577201238126905,-119.80939061062074,47.49949639842799,223.10073137130613,43.217991872330266,20.54667183653526,0.3292659517944017,3,500-1000m,238.32818730273192,-15.227455931425794,15.227455931425794,2026-02-18
1450,4.128447803618047,-122.90786951690296,47.286983932575,120.60705115425252,28.648961798444063,18.033686476270358,0.3549341577991639,2,1000-1500m,118.13636091522005,2.4706902390324643,2.4706902390324643,2026-02-18
705,0.9274099469184875,-122.90803835764656,48.331321507153085,202.4435334779629,34.95609726474076,18.88303053314159,0.5380454877263446,4,500-1000m,216.13740276815292,-13.693869290190037,13.693869290190037,2026-02-18
205,3.950838825846768,-123.5934147148226,48.62434824192504,191.1695366366533,37.52238125481629,21.70256034055881,0.6074405391010005,4,0-500m,183.47261879077396,7.696917845879341,7.696917845879341,2026-02-18
1080,31.745610856628733,-117.93676697957544,45.04862708590954,161.9937000374047,29.116260617444087,13.451828782604975,0.5235339884081247,0,1000-1500m,164.71223789837182,-2.718537860967132,2.718537860967132,2026-02-18
1521,19.64581136133573,-119.79219491779754,47.69607967623517,100.1194628739251,24.765083993441745,16.37435004328829,0.3458695061946201,3,1500-2000m,100.3544301189467,-0.23496724502159338,0.23496724502159338,2026-02-18
572,12.21578395712405,-119.04349195542768,45.20734319647892,242.34749997721835,46.14100360024671,23.31737428438124,0.5970563483363596,0,500-1000m,254.33180117774785,-11.9843012005295,11.9843012005295,2026-02-18
1113,12.00919365850351,-123.8559085399294,47.195434660309424,207.53644221627505,41.89979339198656,21.46309150496937,0.6569699271313171,2,1000-1500m,208.70906751449036,-1.1726252982153085,1.1726252982153085,2026-02-18
1109,26.905782255150157,-117.21063103486604,46.15053091617472,120.68474782356272,25.751944028865868,15.606921160886902,0.2627194112064221,1,1000-1500m,128.78305858910244,-8.098310765539722,8.098310765539722,2026-02-18
