rh98_shap,rh50_shap,canopy_cover_shap,elevation_shap,slope_shap,actual_biomass,predicted_biomass
28.576809,6.615902,4.946172,-15.320633,-0.30643654,204.46294095795628,204.35541
40.651833,-1.8717363,1.349082,7.2619824,-2.4273043,223.28000871536963,224.80748
-21.406973,-1.9176025,-5.6026893,-24.719679,-4.216387,121.899185026927,121.980255
56.221928,-4.0250726,-13.671164,10.886832,-5.388389,223.10073137130613,223.86777
-26.571646,2.956795,-1.871179,-33.27762,-0.31003776,120.60705115425252,120.76982
15.086015,-3.0969648,-1.4790944,22.483793,-7.95763,202.4435334779629,204.87978
28.607363,7.2331576,4.049257,-28.301449,-0.3085652,191.1695366366533,191.12334
-23.97989,-1.231797,4.817729,2.513651,0.028601754,161.9937000374047,161.99194
-50.71002,2.0251215,-2.9699347,-28.141788,-1.4354222,100.1194628739251,98.611534
58.39293,-2.6437688,2.4891095,10.591129,-5.347768,242.34749997721835,243.32521
48.334118,1.8064271,4.058723,-26.890339,0.7819868,207.53644221627505,207.93445
-48.0796,-2.0609348,-10.259331,4.290194,-3.1083107,120.68474782356272,120.62551
15.173311,-2.6817884,-1.3673548,-18.364485,-1.3397505,171.7360437857204,171.26353
-8.356101,0.29197836,-0.8188801,-0.6651179,0.34508264,171.72968822515992,170.64064
-18.738634,0.9877015,4.1897273,-17.418741,4.482612,153.4938103422718,153.3462
-99.01813,-1.9152018,7.3172245,-29.246792,-0.4740912,56.39576807881281,56.506603
-12.516049,-1.3360178,-1.775626,-21.372417,2.2150068,144.85276604394443,145.05855
-13.312069,2.2267575,-4.4432645,-1.9592795,-1.5998294,160.61444800353186,160.75586
-19.204655,-3.0796266,-3.7728908,-28.278063,-3.0472074,120.89938437283152,122.46109
35.96079,2.0028162,0.11619658,-11.155903,-1.1614709,205.4606167523204,205.606
23.27008,-4.23534,2.5518374,29.044779,-0.75163376,229.82524002858324,229.72334
20.010046,1.5414832,1.5697416,-42.370907,1.0505513,161.82247950850905,161.64444
38.566975,-0.7853463,-0.10310063,-38.589676,-0.18927819,178.6188118970738,178.74312
61.045135,-1.6128781,0.48417822,-12.564687,1.2056981,228.1926651208744,228.40108
-15.85957,1.23406,1.0954366,-33.474903,2.203973,135.04912530252878,135.04256
-75.240524,-2.4122643,-4.913254,-31.70224,-1.0899909,64.18670211404591,64.485275
-29.778776,2.787195,0.5030217,-30.682959,-0.41639778,121.86525404197432,122.255615
34.872696,1.2946099,1.4313132,21.898449,-3.0245316,235.77536550476435,236.31612
